product_id,price,category,old_name,user_id,status,amount,base_price,region,priority
1001,2188.07,Electronics,Item_1,5001.0,Completed,7572.98,2188.07,South,Low
1002,3745.5,Home,Item_2,5002.0,Pending,2626.15,3745.5,East,Low
1003,3001.96,Sports,Item_3,5003.0,Cancelled,3398.01,3001.96,North,Medium
1004,3607.74,Books,Item_4,5004.0,Cancelled,3582.15,3607.74,North,Medium
1005,743.67,Clothing,Item_5,5005.0,Cancelled,5223.82,743.67,North,Medium
1006,1920.33,Clothing,Item_6,5006.0,Pending,3853.44,1920.33,East,Medium
1007,2342.09,Home,Item_7,5007.0,Cancelled,283.55,2342.09,East,Medium
1008,2592.31,Sports,Item_8,5008.0,Cancelled,3079.17,2592.31,North,Low
1009,1968.3,Electronics,Item_9,5009.0,Processing,8112.75,1968.3,South,Medium
1010,4929.58,Sports,Item_10,5010.0,Cancelled,1662.02,4929.58,North,Low
1011,303.0,Home,Item_11,5011.0,Processing,1285.8,303.0,West,Low
1012,609.91,Sports,Item_12,5012.0,Completed,7172.08,609.91,East,Low
1013,1739.78,Electronics,Item_13,,Completed,3180.38,1739.78,South,High
1014,753.32,Electronics,Item_14,5014.0,Processing,2751.12,753.32,West,Low
1015,206.96,Electronics,Item_15,5015.0,Pending,498.19,206.96,North,High
1016,1013.38,Electronics,Item_16,5016.0,Cancelled,1341.87,1013.38,West,Medium
1017,3955.84,Electronics,Item_17,5017.0,Pending,6156.45,3955.84,East,Medium
1018,493.46,Clothing,Item_18,5018.0,Completed,3125.2,493.46,West,High
1019,4620.52,Sports,Item_19,5019.0,Cancelled,1823.08,4620.52,East,Medium
1020,1840.58,Electronics,Item_20,5020.0,Completed,4269.07,1840.58,East,Low
1021,3476.69,Books,Item_21,5021.0,Cancelled,2058.52,3476.69,South,High
1022,1364.84,Home,Item_22,5022.0,Processing,6861.66,1364.84,West,High
1023,2331.47,Clothing,Item_23,5023.0,Pending,8009.05,2331.47,East,High
1024,4669.09,Home,Item_24,5024.0,Completed,6137.78,4669.09,North,Medium
1025,3894.64,Clothing,Item_25,5025.0,Cancelled,3651.64,3894.64,South,High
1026,2420.25,Sports,Item_26,,Cancelled,6513.72,2420.25,North,Medium
1027,3519.25,Clothing,Item_27,5027.0,Pending,3700.83,3519.25,North,Medium
1028,4988.1,Sports,Item_28,5028.0,Pending,5763.45,4988.1,North,Low
1029,1193.07,Home,Item_29,5029.0,Cancelled,6984.5,1193.07,North,Low
1030,3068.9,Books,Item_30,5030.0,Cancelled,1431.26,3068.9,East,Low
1031,835.76,Sports,Item_31,5031.0,Processing,7305.15,835.76,West,Low
1032,2792.23,Books,Item_32,5032.0,Cancelled,8176.88,2792.23,West,Medium
1033,2469.34,Electronics,Item_33,5033.0,Pending,7137.82,2469.34,North,Low
1034,1020.95,Books,Item_34,5034.0,Processing,6246.35,1020.95,East,High
1035,4678.84,Electronics,Item_35,5035.0,Completed,3754.49,4678.84,East,Low
1036,3810.67,Electronics,Item_36,5036.0,Completed,1913.72,3810.67,North,High
1037,3533.54,Books,Item_37,5037.0,Processing,3400.89,3533.54,North,Medium
1038,4884.25,Home,Item_38,5038.0,Pending,1110.26,4884.25,North,Low
1039,262.35,Clothing,Item_39,,Pending,338.13,262.35,West,Medium
1040,636.57,Home,Item_40,5040.0,Completed,7629.37,636.57,North,High
1041,799.28,Electronics,Item_41,5041.0,Pending,7534.75,799.28,North,Low
1042,2347.17,Electronics,Item_42,5042.0,Completed,3012.63,2347.17,East,Medium
1043,2278.06,Sports,Item_43,5043.0,Completed,9300.5,2278.06,East,High
1044,3649.92,Books,Item_44,5044.0,Cancelled,1163.46,3649.92,South,High
1045,3850.47,Books,Item_45,5045.0,Pending,8763.03,3850.47,South,Medium
1046,4172.85,Sports,Item_46,5046.0,Pending,9264.23,4172.85,South,High
1047,495.33,Books,Item_47,5047.0,Completed,6507.25,495.33,West,High
1048,2254.1,Electronics,Item_48,5048.0,Processing,5962.46,2254.1,North,Medium
1049,3001.24,Home,Item_49,5049.0,Cancelled,9591.23,3001.24,West,Medium
1050,4731.7,Books,Item_50,5050.0,Processing,3921.5,4731.7,East,Low
